gene_ID	SampleName	tissue	mean.logTPM	mean.TPM	z.score.TPM	z.score.logTPM	group
Hipap_TRINITY_DN9783_c0_g4	Young_leaf	Young_leaf	0.37100123958049075	1.3548884333333333	1.3304779596920258	1.2266910106283087	12
Hipap_TRINITY_DN9783_c0_g5	Basal_plate	Basal_plate	0.1353852040969531	0.3706736666666667	0.1868584204311673	0.2614610153728938	12
Hipap_TRINITY_DN9783_c0_g5	Inner_bulb	Inner_bulb	0.19672521005413124	0.5860546666666666	1.2289103032355984	1.1352490841574194	12
Hipap_TRINITY_DN9783_c0_g5	Old_leaf	Old_leaf	0.11557045794592273	0.32775966666666667	-0.020767203457055797	-0.020799941446239353	12
Hipap_TRINITY_DN9783_c0_g5	Peduncle	Peduncle	0	0	-1.6065272183021575	-1.6671005193693764	12
Hipap_TRINITY_DN9783_c0_g5	Petal	Petal	0.11031113046983011	0.3015809	-0.14742476886207254	-0.09571903424268505	12
Hipap_TRINITY_DN9783_c0_g5	Pistil	Pistil	0.012143552234497895	0.028614666666666667	-1.4680843320873975	-1.494115680362783	12
Hipap_TRINITY_DN9783_c0_g5	Root	Root	0.1314591142694	0.35352466666666665	0.10388848465125533	0.20553388600992797	12
Hipap_TRINITY_DN9783_c0_g5	Stem	Stem	0.15502948049607596	0.44459166666666666	0.5444869534639694	0.5412936314545086	12
Hipap_TRINITY_DN9783_c0_g5	Young_leaf	Young_leaf	0.19665139284729002	0.5756683333333333	1.1786593609266929	1.1341975584263349	12
Hipap_TRINITY_DN9783_c0_g6	Basal_plate	Basal_plate	0.29770350994150474	0.9876626666666667	0.8613884025622223	0.9789441973793906	12
Hipap_TRINITY_DN9783_c0_g6	Inner_bulb	Inner_bulb	0.15212025823814804	0.4914036666666667	-0.2365568383277495	-0.24049376261231994	12
Hipap_TRINITY_DN9783_c0_g6	Old_leaf	Old_leaf	0.10849876563998902	0.2995348	-0.6610559588104395	-0.6058771657394947	12
Hipap_TRINITY_DN9783_c0_g6	Peduncle	Peduncle	0	0	-1.3237599261761286	-1.514687155114092	12
Hipap_TRINITY_DN9783_c0_g6	Petal	Petal	0.181221265692941	0.5581286666666666	-0.08893151324874182	0.0032628010663444513	12
Hipap_TRINITY_DN9783_c0_g6	Pistil	Pistil	0.12350851311002194	0.3664946666666667	-0.5129110043868547	-0.4801521553369028	12
Hipap_TRINITY_DN9783_c0_g6	Root	Root	0.09338481829248926	0.24140566666666666	-0.7896634103637453	-0.7324749776801953	12
Hipap_TRINITY_DN9783_c0_g6	Stem	Stem	0.37304157636607066	1.4045253333333334	1.7836737031237626	1.609992734594983	12
Hipap_TRINITY_DN9783_c0_g6	Young_leaf	Young_leaf	0.2980069027344824	1.0357669999999999	0.967816545627674	0.9814854834422868	12
Hipap_TRINITY_DN9783_c10_g1	Basal_plate	Basal_plate	0.19072335200978197	0.5549973333333333	0.38215799206240997	0.5405889084812501	12
Hipap_TRINITY_DN9783_c10_g1	Inner_bulb	Inner_bulb	0.19107832967277158	0.567136	0.41573355888853053	0.5439967596555829	12
Hipap_TRINITY_DN9783_c10_g1	Old_leaf	Old_leaf	0.1917143011782156	0.6485013333333334	0.6407901702678354	0.5501022036528664	12
Hipap_TRINITY_DN9783_c10_g1	Peduncle	Peduncle	0	0	-1.152965309809194	-1.290390521732211	12
Hipap_TRINITY_DN9783_c10_g1	Petal	Petal	0.12773672622605464	0.35400123333333333	-0.173797466033452	-0.06409434070284852	12
Hipap_TRINITY_DN9783_c10_g1	Pistil	Pistil	0.02664402159880971	0.06430763333333334	-0.9750903174640986	-1.0346029898358458	12
Hipap_TRINITY_DN9783_c10_g1	Root	Root	0.04963775071037337	0.12216906666666666	-0.8150455221923669	-0.8138589404914625	12
Hipap_TRINITY_DN9783_c10_g1	Stem	Stem	0.10015693671832507	0.28578343333333334	-0.36248798415440997	-0.3288654174804835	12
Hipap_TRINITY_DN9783_c10_g1	Young_leaf	Young_leaf	0.33202640547669565	1.1546163333333332	2.0407048784347452	1.897124338453151	12
Hipap_TRINITY_DN9783_c11_g1	Basal_plate	Basal_plate	0.18399023967106418	0.6169023333333333	1.460431865349251	1.424407834820817	12
Hipap_TRINITY_DN9783_c11_g1	Inner_bulb	Inner_bulb	0.17840981547470103	0.5977993333333333	1.3910698706881952	1.3570122903738528	12
Hipap_TRINITY_DN9783_c11_g1	Old_leaf	Old_leaf	0	0	-0.7795082671461463	-0.7976673944494121	12
Hipap_TRINITY_DN9783_c11_g1	Peduncle	Peduncle	0	0	-0.7795082671461463	-0.7976673944494121	12
Hipap_TRINITY_DN9783_c11_g1	Petal	Petal	0.08855962445449221	0.24404533333333334	0.10660758417156652	0.2718792737087107	12
Hipap_TRINITY_DN9783_c11_g1	Pistil	Pistil	0	0	-0.7795082671461463	-0.7976673944494121	12
Hipap_TRINITY_DN9783_c11_g1	Root	Root	0.14346985111219418	0.47341366666666673	0.9394320155217184	0.9350375733436797	12
Hipap_TRINITY_DN9783_c11_g1	Stem	Stem	0	0	-0.7795082671461463	-0.7976673944494121	12
Hipap_TRINITY_DN9783_c11_g1	Young_leaf	Young_leaf	0	0	-0.7795082671461463	-0.7976673944494121	12
Hipap_TRINITY_DN9783_c12_g1	Basal_plate	Basal_plate	0.05642287125070406	0.1401213	1.4423097089728472	1.4426937393505845	12
Hipap_TRINITY_DN9783_c12_g1	Inner_bulb	Inner_bulb	0.03606476857263773	0.0871117	0.6546087354780898	0.6903283730088215	12
Hipap_TRINITY_DN9783_c12_g1	Old_leaf	Old_leaf	0	0	-0.6398354952420675	-0.6425012746389104	12
Hipap_TRINITY_DN9783_c12_g1	Peduncle	Peduncle	0	0	-0.6398354952420675	-0.6425012746389104	12
Hipap_TRINITY_DN9783_c12_g1	Petal	Petal	0	0	-0.6398354952420675	-0.6425012746389104	12
Hipap_TRINITY_DN9783_c12_g1	Pistil	Pistil	0	0	-0.6398354952420675	-0.6425012746389104	12
Hipap_TRINITY_DN9783_c12_g1	Root	Root	0	0	-0.6398354952420675	-0.6425012746389104	12
Hipap_TRINITY_DN9783_c12_g1	Stem	Stem	0	0	-0.6398354952420675	-0.6425012746389104	12
Hipap_TRINITY_DN9783_c12_g1	Young_leaf	Young_leaf	0.06398017162229026	0.1602958	1.7420945270014678	1.721985535474056	12
Hipap_TRINITY_DN9783_c13_g1	Basal_plate	Basal_plate	0.04368397424998295	0.1101682	1.1887565171198753	1.1765587872814647	12
Hipap_TRINITY_DN9783_c13_g1	Inner_bulb	Inner_bulb	0.017779813838586934	0.04238596666666667	-0.022082532288440992	0.0068353662989834515	12
Hipap_TRINITY_DN9783_c13_g1	Old_leaf	Old_leaf	0	0	-0.7792512041221014	-0.7960265808712534	12
Hipap_TRINITY_DN9783_c13_g1	Peduncle	Peduncle	0	0	-0.7792512041221014	-0.7960265808712534	12
Hipap_TRINITY_DN9783_c13_g1	Petal	Petal	0	0	-0.7792512041221014	-0.7960265808712534	12
Hipap_TRINITY_DN9783_c13_g1	Pistil	Pistil	0	0	-0.7792512041221014	-0.7960265808712534	12
Hipap_TRINITY_DN9783_c13_g1	Root	Root	0.017491631143701437	0.0410999	-0.045056395254632106	-0.006177757553550958	12
Hipap_TRINITY_DN9783_c13_g1	Stem	Stem	0.017335827291362235	0.04123466666666666	-0.04264896878704861	-0.01321320715956424	12
Hipap_TRINITY_DN9783_c13_g1	Young_leaf	Young_leaf	0.06236472193405533	0.15771049999999998	2.0380361956986524	2.020103134617681	12
Hipap_TRINITY_DN9783_c14_g1	Basal_plate	Basal_plate	0.08736862946526032	0.23790933333333333	0.2873763039775146	0.5312163098457814	12
Hipap_TRINITY_DN9783_c14_g1	Inner_bulb	Inner_bulb	0	0	-0.4691147592613375	-0.519760365849685	12
Hipap_TRINITY_DN9783_c14_g1	Old_leaf	Old_leaf	0	0	-0.4691147592613375	-0.519760365849685	12
Hipap_TRINITY_DN9783_c14_g1	Peduncle	Peduncle	0	0	-0.4691147592613375	-0.519760365849685	12
Hipap_TRINITY_DN9783_c14_g1	Petal	Petal	0	0	-0.4691147592613375	-0.519760365849685	12
Hipap_TRINITY_DN9783_c14_g1	Pistil	Pistil	0	0	-0.4691147592613375	-0.519760365849685	12
Hipap_TRINITY_DN9783_c14_g1	Root	Root	0.05327759454318939	0.13469266666666665	-0.04082639751648672	0.12112766850269484	12
Hipap_TRINITY_DN9783_c14_g1	Stem	Stem	0	0	-0.4691147592613375	-0.519760365849685	12
Hipap_TRINITY_DN9783_c14_g1	Young_leaf	Young_leaf	0.24822706574500286	0.9551876666666667	2.5681386491069973	2.4662182167496334	12
Hipap_TRINITY_DN9783_c15_g1	Basal_plate	Basal_plate	0.06219889537993816	0.15977266666666667	2.6666666666666665	2.666666666666667	12
Hipap_TRINITY_DN9783_c15_g1	Inner_bulb	Inner_bulb	0	0	-0.3333333333333333	-0.33333333333333337	12
Hipap_TRINITY_DN9783_c15_g1	Old_leaf	Old_leaf	0	0	-0.3333333333333333	-0.33333333333333337	12
Hipap_TRINITY_DN9783_c15_g1	Peduncle	Peduncle	0	0	-0.3333333333333333	-0.33333333333333337	12
Hipap_TRINITY_DN9783_c15_g1	Petal	Petal	0	0	-0.3333333333333333	-0.33333333333333337	12
Hipap_TRINITY_DN9783_c15_g1	Pistil	Pistil	0	0	-0.3333333333333333	-0.33333333333333337	12
Hipap_TRINITY_DN9783_c15_g1	Root	Root	0	0	-0.3333333333333333	-0.33333333333333337	12
Hipap_TRINITY_DN9783_c15_g1	Stem	Stem	0	0	-0.3333333333333333	-0.33333333333333337	12
Hipap_TRINITY_DN9783_c15_g1	Young_leaf	Young_leaf	0	0	-0.3333333333333333	-0.33333333333333337	12
Hipap_TRINITY_DN9783_c1_g1	Basal_plate	Basal_plate	0.2795346828523493	0.9041903333333333	0.8579857752988045	0.8924027203013833	12
Hipap_TRINITY_DN9783_c1_g1	Inner_bulb	Inner_bulb	0.26886344938366696	0.8695853333333333	0.7706555333648385	0.7964975982662835	12
